"KYU Trust Score","Sensitivity Level","File Name","Alpha","Alpha Score"
"HIGH","High","Adult_Healthcare","","0.2117"
"HIGH","High","Adult_Finance&Banking","","0.2097"
"HIGH","High","Adult_E-commerce & Retail","","0.4161"
"HIGH","High","Adult_Telecommunications","","0.4161"
"HIGH","Moderate","Adult_GovernmentServices","","0.0000"
"HIGH","Moderate","Adult_Education","","0.0000"
"HIGH","Moderate","Adult_ Travel & Hospitality","","0.0000"
"HIGH","High","Adult_ Social Media & Entertainment","","0.4169"
"HIGH","Moderate","Adult_ Employment & HR Tech","","0.0000"
"HIGH","Moderate","Adult_ Startups and IT Services","","0.0000"
"HIGH","High","Child_Healthcare","","0.4158"
"HIGH","High","Child_Education","","0.4158"
"HIGH","Moderate","Person with Disability_ Government Services","","0.0000"
"HIGH","Moderate","Family_ Finance & Banking","","0.0000"
"HIGH","Moderate","Company_ Employment & HR Tech","","0.0000"
"HIGH","Moderate","Company_ Startups and IT Services","","0.0000"
"HIGH","Moderate","Association_ Startups and IT Services","","0.0000"
"HIGH","Moderate","State_Government Services","","0.0000"
"HIGH","High","Artificial Juristic_ Startups and IT Services ","","0.3669"
"MODERATE","High","Adult_Healthcare","","0.5144"
"MODERATE","High","Adult_Finance&Banking","","0.5144"
"MODERATE","High","Adult_E-commerce & Retail","","0.4950"
"MODERATE","High","Adult_Telecommunications","","0.4950"
"MODERATE","Moderate","Adult_GovernmentServices","","0.6883"
"MODERATE","Moderate","Adult_Education","","0.6883"
"MODERATE","Moderate","Adult_ Travel & Hospitality","","0.6883"
"MODERATE","High","Adult_ Social Media & Entertainment","","0.4947"
"MODERATE","Moderate","Adult_ Employment & HR Tech","","0.6883"
"MODERATE","Moderate","Adult_ Startups and IT Services","","0.6883"
"MODERATE","High","Child_Healthcare","","0.5877"
"MODERATE","High","Child_Education","","0.5877"
"MODERATE","Moderate","Person with Disability_ Government Services","","0.6987"
"MODERATE","Moderate","Family_ Finance & Banking","","0.6810"
"MODERATE","Moderate","Company_ Employment & HR Tech","","0.5990"
"MODERATE","Moderate","Company_ Startups and IT Services","","0.6671"
"MODERATE","Moderate","Association_ Startups and IT Services","","0.5920"
"MODERATE","Moderate","State_Government Services","","0.4006"
"MODERATE","High","Artificial Juristic_ Startups and IT Services ","","0.4391"
"LOW","High","Adult_Healthcare","","1.0000"
"LOW","High","Adult_Finance&Banking","","1.0000"
"LOW","High","Adult_E-commerce & Retail","","1.0000"
"LOW","High","Adult_Telecommunications","","1.0000"
"LOW","Moderate","Adult_GovernmentServices","","0.4950"
"LOW","Moderate","Adult_Education","","0.4950"
"LOW","Moderate","Adult_ Travel & Hospitality","","0.4947"
"LOW","High","Adult_ Social Media & Entertainment","","1.0000"
"LOW","Moderate","Adult_ Employment & HR Tech","","0.4947"
"LOW","Moderate","Adult_ Startups and IT Services","","0.4613"
"LOW","High","Child_Healthcare","","1.0000"
"LOW","High","Child_Education","","1.0000"
"LOW","Moderate","Person with Disability_ Government Services","","0.5070"
"LOW","Moderate","Family_ Finance & Banking","","0.5000"
"LOW","Moderate","Company_ Employment & HR Tech","","0.4495"
"LOW","Moderate","Company_ Startups and IT Services","","0.4881"
"LOW","Moderate","Association_ Startups and IT Services","","0.4957"
"LOW","Moderate","State_Government Services","","0.4153"
"LOW","High","Artificial Juristic_ Startups and IT Services ","","1.0000"
