District,No. Of Stree Shakti Self Help Groups,% of Self help groups to state total,SC Women SHG Members No.,ST Women SHG Members No.,Other Women SHG Members No.,Total SHG Members No.,Total of Accumulated savings Rs. In Crores,SHGs Availed Bank Loan No.,Total SHG Bank Loan Crores,SHG Govt. Revolving Funds Crores,Bhagyalakshmi Beneficiaries Current Year,Bhagyalakshmi Beneficiaries Cumulative,% of Bhagyalakshmi scheme beneficiaries to state total,LIC Bonds Distributed Current Year,LIC Bonds Distributed Cumulative,Anganawadi Own Buildings,Anganawadi School Buildings,Anganawadi Other Buildings,Total Anganawadi Centers,Anganawadi Own Buildings,0-3 Yrs SNP Beneficiaries,3-6 Yrs SNP Beneficiaries,Pregnant Women SNP Beneficiaries,Lactating Women SNP Beneficiaries,Adolescent Girls SNP Beneficiaries,Total SNP Beneficiaries,No. of Anganawadi Teachers,No. of Anganawadi Workers / Assistants,Total Children in Anganwadi Malnourished Children,Normal Malnourished Children,Moderately Malnourished Malnourished Children,Severely Malnourished Malnourished Children,Creches No.,Creches Children,Destitute Children Protected
Bengaluru(U),5554,3.39,23657,2495,80472,106624,1.8514,202,0.9249,0.0,9456,141365,4.93,9493,127140,1018,246,1156,2420,42.07,134186,61124,13617,10162,115,219204,2422,2329,174216,160687,13374,155,10,305,0
Bengaluru(R),3872,2.36,15577,4438,40995,61010,604.84,25,62.33,1.75,2487,46399,1.62,4248,43788,971,56,203,1230,78.94,36733,21826,5169,4246,17,67991,1230,1109,50024,48913,1085,26,0,0,68
Ramanagara,5086,3.1,22054,1740,61538,85332,110.57,4619,178.74,21.05,2990,53027,1.85,2990,54169,961,164,418,1543,62.28,34595,21261,4415,4445,65,64781,1543,1301,51604,48545,2878,181,0,0,248
Chitradurga,6148,3.75,24476,17234,46880,88590,136.35,5581,106.87,240.26,5372,102755,3.58,5372,102755,1746,124,463,2333,74.84,68961,60775,14054,13290,139,157219,2333,2217,125463,112146,13001,316,44,1075,282
Davanagere,5822,3.55,19762,12914,43817,76493,148.01,5010,112.3,166.95,5321,97722,3.41,5392,97722,1142,96,483,1721,66.36,67426,47319,13277,12601,89,140712,1721,1656,119189,107368,11599,222,1,0,97
Kolara,5009,3.06,22847,5001,46962,74810,33.57,2969,88.76,3.1,3515,75703,2.64,3515,69203,991,300,770,2061,48.08,54976,36593,6589,9853,220,108231,2061,1980,83498,80024,3370,104,14,0,25
Chikkaballapura,5759,3.52,18858,11464,64563,94885,38.9456,4083,84.95,2.5,3898,64913,2.26,3898,64913,1046,275,640,1961,53.34,49365,31171,7078,7595,114,95323,1961,1848,78560,71847,6568,145,0,0,100
Shivamogga,5000,3.05,19714,4472,52102,76288,91.29,4828,171.52,516.17,2096,92637,3.23,5946,84483,1917,133,389,2439,78.6,51961,39542,6373,5832,30,103738,2377,2073,129237,119781,9182,274,29,725,155
Tumakuru,11040,6.74,35103,13891,128083,177077,9.99,152,6.56,0.59,2607,151737,5.29,14675,140226,2779,377,953,4109,67.63,78611,56639,9655,9448,55,154408,4011,3467,140700,128779,10186,158,2,50,325
Chikkamagaluru,3683,2.25,14271,2704,43372,60347,6.86,107,5.89,0.0365,2470,54270,1.89,6011,50545,1553,104,168,1825,85.1,28895,24338,4815,4605,47,62700,1825,1667,57236,53227,3787,222,10,250,25
Dakshina Kannada,4017,2.45,5458,5176,47448,58082,121.47,3906,326.95,12.11,3790,42419,1.48,951,37057,1858,69,179,2106,88.22,59875,41701,1223,1028,0,103827,2073,2026,101546,98726,2776,44,3,85,337
Udupi,3070,1.87,3697,3226,37424,44347,7.86,184,14.06,0.585,3250,42838,1.49,5422,39847,1036,76,78,1190,87.06,29200,22200,4303,5715,2,61420,1190,1190,53871,52017,1757,97,1,7,0
Hassan,7237,4.42,27991,6398,92179,126568,30800.1,7073,1459.85,293.7,4679,84638,2.95,4679,8406,1777,265,481,2523,70.43,43591,32904,8136,8415,20,93066,2523,2248,74221,72209,1884,128,4,0,50
Kodagu,1175,0.72,3734,1871,13556,19161,19.42,1152,88.55,1.69,793,16031,0.56,1231,15024,741,11,117,869,85.27,16539,8626,776,677,14,26632,871,848,27036,25238,1745,53,0,0,0
Mandya,7262,4.43,25790,1220,98223,125233,249.91,7072,576.47,334.7,5763,107156,3.74,2471,99600,1658,315,573,2546,65.12,51083,28563,5599,5571,39,90855,2492,2176,88731,83709,4865,157,31,775,125
Mysuru,6819,4.16,23969,10416,72947,107332,17.048,647,3.73,0.175,4694,149507,5.22,2176,131004,2191,159,525,2875,76.21,82323,56495,14871,13731,114,167534,2875,2723,147003,133818,13034,151,3,75,50
Chamarajanagara,4265,2.6,19492,6699,43958,70149,54.78,1154,3.8,22.49,2336,65331,2.28,5190,51599,1074,44,303,1421,75.58,36044,26148,5831,5748,137,73908,1381,1303,62192,50232,6101,97,3,75,155
Belagavi,16023,9.78,40242,13039,202300,255581,153.53,12533,128.61,0.048,12419,247756,8.64,9833,219128,3127,301,1898,5326,58.71,236224,160580,42696,39243,43,478786,5190,4995,469938,400976,67855,1107,104,2600,0
Vijayapura,4708,2.87,14027,830,39060,53917,933.77,2309,202.54,9.15,5347,134616,4.7,8683,127319,1313,120,880,2313,56.77,114476,78399,24982,42566,1404,261827,2313,2269,185957,188205,26640,202,64,1750,0
Bagalkot,4879,2.98,15892,7282,49554,72728,67.91,4463,62.61,1.82,1950,105364,3.68,3963,99943,1428,111,682,2221,64.3,101080,73400,20166,19508,44,214198,2221,2164,183513,156871,26261,381,23,575,168
Dharwad,3607,2.2,6698,4087,48535,59320,3.17,32,0.819,0.016,5119,100484,3.51,0,93521,809,96,602,1507,53.68,67673,51847,14195,12480,91,146286,1507,1497,118331,99310,18848,176,0,0,83
Gadag,3971,2.42,9518,4286,48654,62458,2.2795,21,0.384,0.017,3167,72346,2.52,5629,37181,865,32,269,1166,74.19,44316,33251,8661,8759,58,95045,1136,1099,86100,59128,17969,473,20,500,25
Haveri,5298,3.23,15482,11830,55913,83225,176.37,141,1.988,0.1115,1553,108175,3.77,9719,101208,1434,56,428,1918,74.77,68274,52663,10517,10456,10,141920,1869,1813,133515,108112,24630,773,8,200,450
Uttara Kannada,2668,1.63,3864,1057,32827,37748,695.67,54,165.14,3.2,9005,78893,2.75,9005,77027,2015,164,508,2687,74.99,45097,44817,8087,7948,1,105950,2453,2616,108918,90182,6395,290,28,683,0
Ballari,7105,4.34,24162,22327,56736,103225,11.6057,7105,20.0839,2.6888,3771,128508,4.48,3771,128508,2028,117,639,2784,72.84,133443,85333,23271,21552,57,263656,2780,2664,218776,173590,44283,903,0,0,175
Bidar,4051,2.47,14588,5986,22034,42608,335.94,3373,110.85,57.83,4501,88464,3.09,5418,88464,1259,93,541,1893,66.51,108206,55021,19257,22908,5578,210970,1893,1866,137255,147956,39168,323,0,137255,150
Kalburgi,7655,4.67,30228,1326,76536,108090,2.2931,0,0.0,1.9,5828,147349,5.14,4960,147008,1969,117,1044,3130,62.91,114148,83922,23881,24837,4002,250790,3130,3057,176588,149372,26576,640,0,0,175
Yadgir,3387,2.07,15570,8864,31661,56095,1.96,0,0.0,0.072,1074,66919,2.33,3427,8076,985,63,338,1386,71.07,62509,52604,14513,14765,2023,146414,1386,1336,115113,58276,22681,432,0,0,0
Raichur,6288,3.84,18689,19029,65214,102932,109.31,5146,38.61,7.2,2086,120613,4.21,6204,120613,1639,58,965,2662,61.57,111628,85642,21772,21888,983,241913,2662,2621,193182,150963,41539,663,0,12,300
Koppal,3355,2.05,8591,4560,35964,49115,1.2512,37,0.9663,0.0231,5444,78831,2.75,2568,74907,1286,58,506,1850,69.51,72178,61337,13430,13465,2058,162468,1804,1708,137452,103503,33256,693,0,0,100
